Zone_ID,1/19/26 AM,1/19/26 PM,1/26/26 AM,1/26/26 PM,2/2/26 AM,2/2/26 PM,2/9/26 AM,2/9/26 PM,2/16/26 AM,2/16/26 PM,2/23/26 AM,2/23/26 PM,Avg AM,Avg PM
I_1,0,0,0,1,0,2,0,1,0,1,0,1,0.0,1.0
I_2,2,2,0,3,1,3,0,3,0,1,1,3,0.7,2.5
I_3,1,2,0,3,0,3,0,3,0,1,0,3,0.2,2.5
I_4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
I_5,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.2
I_6,4,2,4,1,4,0,0,0,0,1,6,0,3.0,0.7
I_7,3,0,0,0,1,0,1,0,1,1,0,0,1.0,0.2
I_8,3,0,0,0,2,0,2,0,0,0,0,0,1.2,0.0
I_9,0,0,0,0,2,0,2,0,0,0,0,2,0.7,0.3
I_10,3,5,4,3,2,1,2,1,0,1,1,1,2.0,2.0
I_11,4,3,4,3,2,0,1,0,0,1,0,2,1.8,1.5
I_12,1,1,1,1,0,0,2,0,2,0,2,0,1.3,0.3
I_13,1,0,1,0,1,0,2,0,0,0,1,0,1.0,0.0
I_14,1,0,1,0,1,0,1,0,1,0,2,0,1.2,0.0
I_15,1,0,1,1,1,2,1,1,1,1,2,1,1.2,1.0
WH_1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
WH_2,0,0,1,0,1,0,1,0,1,0,1,0,0.8,0.0
WH_3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
WH_4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
WH_5,0,0,1,0,1,0,1,0,0,0,1,0,0.7,0.0
WH_6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
WH_7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
WH_8,6,0,5,2,6,1,4,3,6,3,5,1,5.3,1.7
WH_9,0,0,0,0,0,0,0,3,0,1,0,1,0.0,0.8
WH_10,0,1,0,5,0,1,0,2,0,2,0,0,0.0,1.8
Dispatch,2,2,2,0,1,1,1,1,0,2,3,2,1.5,1.3
